Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
inmuebles24.com,http://www.inmuebles24.com/propiedades/preciosa-casa-en-venta-zona-hotelera-en-isla-dorada-51594734.html,inmuebles24, 51594734,2017-07-19 12:17:14.815729,Venta,Casa,"Casa
											",,"Preciosa Casa en Venta - Zona Hotelera en Isla Dorada - Isla Amorosa - Cancun, Provincia de Quintana Roo - Inmuebles24","Blvd. Kukulcan km 12.5, Zona Hotelera, Cancún, Q. Roo, México, Zona Hotelera, Cancún",,Cancún,Zona Hotelera,,,Quintana Roo,"
										Esta casa tiene 4 recámaras ,4 baños completos ,Sala ,Comedor ,Cocina ,Terraza ,Alberca ,Cuarto de lavado ,Cuarto de servicio ,Ventanas kommerling ,Aire integral ,Granito en cocina ,Filtros para agua : suavizador ,Venta: 850,000 USD
									",,,21.129546600000000,-86.817013200000020,400,400,,,,"U$D 850,000",,,,,,,,MARTHA PEREZ REALTY,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/atencion-desarrolladores-de-vivienda-hoteleros-53083510.html,inmuebles24, 53083510,2017-07-24 12:17:41.195331,Venta,Terreno / Lote,"Terreno / Lote
											",,"Atención Desarrolladores de Vivienda, Hoteleros, Inversionistas de Bodegas, Provincia de Puebla - Inmuebles24","AV MORATILLA 55, Fraccionamiento Moratilla, Puebla",,Puebla,Fraccionamiento Moratilla,,,Puebla,"
										Terreno plano de 5,236 m2 en Moratilla, zona residencial justo a espaldas de los Hoteles Fiesta Inn, Holiday Inn, City Express y el nuevo NH, y a un costado del nuevo desarrollo residencial “Rincón de Moratilla.” ,Ideal para vivienda horizontal y/o vertical, Hotel, o bodegas; terreno de forma regular con 2 frentes (60 mts al Norte en Av. Moratilla y 87 mts al Oriente en calle Celeste). ,Ubicado a pié de la Av. Moratilla # 55, con alineamiento y número oficial de fecha 15 Junio 2017. ,A 3 minutos de la planta VW y Parque Finsa. Excelentes vías de acceso y salida de/a la autopista México-Puebla a 1 calle de distancia. ,$ 3,750/m2 - Informes al ,Ver datos, ,Ver datos, en Puebla, Pue., en horas hábiles.
									",,,19.098715300000000,-98.235044599999980,"5,236","5,236",,,,"MN 19,650,000",,,,,,,,Sergio Maritnez,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/excelente-penthouse-estilo-contemporaneo-a-unos-pasos-53026732.html,inmuebles24, 53026732,2017-07-13 12:18:06.465702,Venta,Departamento,"Departamento
											",,Excelente Penthouse Estilo Contemporáneo a Unos Pasos de Reforma. Distrito Federal - Inmuebles24,"Calzada Manuel Villalongín 196, Cuauhtémoc, Cuauhtémoc",,Cuauhtémoc,Cuauhtémoc,,,Distrito Federal,"
										Hermoso PH con excelentes acabados, techos altos y mucha iluminación. Con 148 m2 habitables distribuidos en 2 niveles, la primera planta cuenta con; pequeño recibidor con un techo de 5m2, balcón, cocina, comedor, recámara secundaria con baño externo y recámara principal con vestidor y baño completo. En el segundo piso se encuentra la sala, área de bar, terraza de 40m2 con jacuzzi, baño de visitas y área de lavado. El departamento tiene 2 lugares fijos de estacionamiento y una amplia bodega. El edificio ofrece seguridad 24/7, CCTV, 3 elevadores.
									",,,19.434536400000000,-99.169898199999980,148,188,,,,"MN 8,900,000",,,,,,,,Ángel Tejada,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/bodega-en-venta-53226168.html,inmuebles24, 53226168,2017-08-08 12:18:31.322511,Venta,Bodega comercial,"Bodega comercial
											",,"Bodega en Venta, Distrito Federal - Inmuebles24","SANTA ISABEL TOLA CACAMAC No.23, Santa Isabel Tola, Gustavo A. Madero",,Gustavo A. Madero,Santa Isabel Tola,,,Distrito Federal,"
										AMPLIA BODEGA CON OFICINAS Y BAÑO
									",,,19.497638800000000,-99.117852100000000,200,550,,,,"MN 7,500,000",,,,,,,,FELIX ASBUN,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-con-amplios-espacios-y-buena-ubicacion-53032171.html,inmuebles24, 53032171,2017-07-13 12:18:56.187998,Venta,Departamento,"Departamento
											",,"Departamento con Amplios Espacios y Buena Ubicación, Col. General Anaya, Distrito Federal - Inmuebles24","Avenida Rio Churubusco No.311, General Pedro Maria Anaya, Benito Juárez",,Benito Juárez,General Pedro Maria Anaya,,,Distrito Federal,"
										Bonito departamento con amplios espacios y distrubucion funcional. Acceso, recibidor, sala-comedor, cocina con área de servicio, 2 baños completos, 2 recamaras, la principal con baño y vestidor y con opción a adaptar una tercera recamara, 2 lugares de estacionamiento independientes ( no se estorban con otros autos). Muy bien ubicado, excelentes vías de acceso como Eje Central , Avenida División del Norte y Avenida Río Churubusco.
									",,,19.358431512240312,-99.158991701852410,90,90,,,,"MN 3,550,000",,,,,,,,Ángel Tejada,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/exclusiva-residencia-en-lomas-de-chapultepec-53216327.html,inmuebles24, 53216327,2017-08-06 12:19:22.040749,Venta,Casa,"Casa
											",,"Exclusiva Residencia en Lomas de Chapultepec, Distrito Federal - Inmuebles24","Monte Altai 520, Lomas de Chapultepec, Miguel Hidalgo",,Miguel Hidalgo,Lomas de Chapultepec,,,Distrito Federal,"
										Exclusiva residencia ubicada en la parte baja de Las Lomas. A unos pasos de Paseo de La Reforma y Periférico. Distribuida en 3 niveles, la casa ofrece amplios espacios, áreas abiertas, amplios ventanales y mucha iluminación. La planta baja consta de sala y comedor con chimenea. Una amplia cocina con desayunador y acceso a los 60 m2 de jardín trasero. Cuarto de servicio y lavandería. La primer planta tiene una habitación con baño y vestidor, habitación de visitas, sala de TV y un espacio que se puede adaptar a una tercera recámara o hacer un aréa de usos múltiples. La segunda planta cuenta con una amplia Master Suite con enorme vestidor y baño completo con tina, antesala, medio baño y cuarto seguro, así como una bonita terraza con vista a copas de árboles. Toda la casa cuenta con domótica en los sistemas de seguridad, aire acondicionado, persianas, audio e iluminación. La ventanería es alemana, el pisos de Salam, muro con riego automático, sistema de purificación de agua en cocina, aire acondicionado en habitaciones y piso radiante en Master Suite. Tiene dos amplios estacionamientos con posibilidad de meter hasta 4 autos.
									",,,19.423328200000000,-99.208710100000020,424,313,,,,"MN 28,000,000",,,,,,,,Ángel Tejada,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/departamento-en-venta-en-residencial-raices-lomas-52632055.html,inmuebles24, 52632055,2017-07-28 12:19:46.943779,Venta,Departamento,"Departamento
											",,"Departamento en Venta en Residencial Raices, Lomas Country Club, Edo. de México - Inmuebles24",,,Huixquilucan,Lomas Country Club,,,Edo. de México,"
										,Espectacular Pre Venta en Lomas Country Club, Residencial Raíces, últimos departamentos, rodeado de áreas verdes con 8,000 m2 de terreno para solo 35 departamentos con vigilancia las 24 hrs. y circuito cerrado, departamentos desde 400 m2 todos con terraza exclusivas áreas comunes como garden grill, mirador, spa, gimnasio, alberca techada y salón de eventos.,* PRECIO SUJETO A CAMBIO SIN PREVIO AVISO Y DISPONIBILIDAD.,Otras Características:,M2 de Área Común: 8000.,
									",,,,,421,"8,000",,,,"U$D 1,011,600",,,,,,,,Grupo Bosques Bienes Raíces,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/casa-en-cumbres-del-lago.-en-coto-privado-53189077.html,inmuebles24, 53189077,2017-08-02 12:20:11.740901,Venta,Casa,"Casa
											",,"Casa en Cumbres del Lago. en Coto Privado, Provincia de Querétaro - Inmuebles24","LAGO NICHUPTE 213, Juriquilla, Querétaro",,Querétaro,Juriquilla,,,Querétaro,"
										CUENTA CON 3 RECÁMARAS, 2 BAÑOS Y MEDIO LA RECÁMARA PRINCIPAL CON VESTIDOR AMPLIO Y BAÑO, SALA DE TELEVISION EN LA PARTE SUPERIOR, SALA COMEDOR, COCINA CON GRANITO, CON ESPACIO PARA ESTUDIO O UNA CUARTA RECÁMARA, ÁREA DE LAVADO TECHADA CON ESPACIO PARALAVADORA Y SECADORA, CUARTO DE SERVICIO CON BAÑO, ESPACIO PARA 3 AUTOS Y ÁREA DE JARDÍN, EL CONDOMINIO CUENTA CON CIRCUITO CERRADO, DOS ÁREAS COMUNES UNA DE ELLAS CON ALBERCA ASADOR Y ÁREA DE JUEGOS INFANTILES, LA OTRA CON UN FOGATERO Y ASADOR
									",,,20.698407800000000,-100.467915000000000,200,194,,,,"MN 3,300,000",,,,,,,,Jose ,,,,,,,,,,,,,,,,,,
Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
inmuebles24.com,http://www.inmuebles24.com/propiedades/bosque-6060-52913725.html,inmuebles24,Noviembre 2018,2017-08-08 12:21:16.691590,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Bosque 6060, Distrito Federal - Inmuebles24","Desierto de los Léones 6060 Ciudad de México, Olivar de los Padres, Alvaro Obregón",,Alvaro Obregón,Olivar de los Padres,,,Distrito Federal,"
										ABILIA lanza un proyecto único e irrepetible al sur de la Ciudad de México, inmerso en un bosque protegido con un castillo medieval que, combinado con una arquitectura de vanguardia, brindan la posibilidad de vivir rodeado de naturaleza con todas las comodidades actuales. ,El 80% del terreno de Bosque 6060 son áreas verdes boscosas destinadas al disfrute de actividades al aire libre con senderos para caminatas y áreas de estar.Los departamentos que van desde 197 m2 hasta 338 m2, cuentan con tres recámaras, sala comedor, family room, elevador directo a piso, terraza, balcón y algunos con jardines privados. ,Seguridad, tranquilidad y calidad son atributos que convierten a Bosque 6060 en uno de los mejores proyectos para vivir en la Ciudad de México.
									",,,19.341633200000000,-99.229032599999980,m²,253,,,,"MN 14,717,032",,,,,,,,Abilia Creando la Diferencia,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/nuevo-townhouse-a-una-calle-de-altabrisa-52630125.html,inmuebles24, 52630125,2017-08-08 12:21:41.464084,Venta,Casa,"Casa
											",,"Nuevo Townhouse a Una Calle de Altabrisa, Yucatán - Inmuebles24","Colonia Maya, Maya, Mérida",,Mérida,Maya,,,Yucatán,"
										,Town House en la Colonia Maya a solo una calle de la avenida principal de Altabrisa ,Terreno 95.79m2., Construcción: 156.76m2 ( 3 Unidades, Deptos. # 2, #3 #4),- 2 Pisos,2 Cuartos Residenciales con baño y closet cada uno,- 2.5 Baños,- Sala comedor,- Cocina,- Terraza y jardín privados,- Family room y terraza en segundo piso,- Adecuaciones para 3 aires acondicionados ( No incluye cableado ),- Cuarto de lavado,- Meseta en cocina de Granito,- Ventanas de Aluminio color Bronce,- Pisos de Porcelanato 60 x 60,- Puertas de madera tipo render,- Acabados en muros exteriores a tres capas,- Acabados en interiores a dos capas,- Cochera techada para dos automóviles y estacionamiento de,- Acabados en fachada con textura,- Focos y plafones en toda la vivienda,- Mesetas de baño en mármol,- Baños vestidos,- Llaves en baños,
									",,,21.018296500000000,-89.579241400000000,157,95,,,,"MN 1,450,000",,,,,,,,TIPI BIENES RAICES,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/espectacular-ph-en-el-corazon-de-polanco-53029736.html,inmuebles24, 53029736,2017-08-08 12:22:06.247257,Venta,Departamento,"Departamento
											",,"Espectacular PH en El Corazón de Polanco, Distrito Federal - Inmuebles24","Petrarca, Polanco, Miguel Hidalgo",,Miguel Hidalgo,Polanco,,,Distrito Federal,"
										Hermoso PH ubicado en una de las mejores calles de Polanco. Este departamento nos ofrece amplios espacios, excelentes acabados y bonitas vistas verdes. Con 235 m2 habitables y 45 m2 de terraza privada, cuenta con; 2 recámaras (opción a una tercera), 3 baños con vestidor, sala-comedor, estudio, cocina integral con desayunador, área de lavado, cuarto de servicio con baño completo, 2 lugares de estacionamiento y una bodega.El edificio ofrece seguridad 24/7.
									",,,19.434325400000000,-99.185605300000020,235,280,,,,"U$D 1,900,000",,,,,,,,Ángel Tejada,,,,,,,,,,,,,,,,,,
inmuebles24.com,http://www.inmuebles24.com/propiedades/venta-depto-de-3-rec.-cuajimalpa-164-m2-6.7-millones-53007164.html,inmuebles24, 53007164,2017-08-08 12:22:31.241676,Venta,Departamento,"Departamento
											",,"Venta Depto de 3 Rec. Cuajimalpa 164 m² 6.7 Millones Oportunidad, Distrito Federal - Inmuebles24","CARRETERA FEDERAL MEXICO TOLUCA #5454, Santa Fe Cuajimalpa, Cuajimalpa de Morelos",,Cuajimalpa de Morelos,Santa Fe Cuajimalpa,,,Distrito Federal,"
