listening_page,Site,ANNONCE_LINK,FROM_SITE,ID_CLIENT,ANNONCE_DATE,ACHAT_LOC,MAISON_APT,CATEGORIE,NEUF_IND,NOM,ADRESSE,CP,VILLE,QUARTIER,DEPARTEMENT,REGION,PROVINCE,ANNONCE_TEXT,ETAGE,NB_ETAGE,LATITUDE,LONGITUDE,M2_TOTALE,SURFACE_TERRAIN,NB_GARAGE,PHOTO,PIECE,PRIX,PRIX_M2,URL_PROMO,PAYS_AD,PRO_IND,SELLERTYPE,MINI_SITE_URL,MINI_SITE_ID,AGENCE_NOM,AGENCE_ADRESSE,AGENCE_VILLE,AGENCE_DEPARTEMENT,EMAIL,WEBSITE,AGENCE_TEL,AGENCE_TEL_2,AGENCE_TEL_3,AGENCE_TEL_4,AGENCE_FAX,AGENCE_CONTACT,PAYS_DEALER,FLUX,SITE_SOCIETE_URL,SITE_SOCIETE_ID,SITE_SOCIETE_NAME,AGENCE_RCS,SPIR_ID
http://www.inmuebles24.com/terrenos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/lotes-en-lomas-de-angelopolis-52282119.html,inmuebles24,52282119,2017-08-09,Venta,Desarrollo Horizontal/Vertical,"Desarrollo Horizontal/Vertical
											",,"Lotes en Lomas de Angelópolis, Provincia de Puebla - Inmuebles24",,,Ocoyucan,Pueblo Santa Clara Ocoyucan,,,Puebla,"
										Contamos con lotes en una comunidad planeada única en la ciudad de Puebla. Tu familia contará con áreas verdes, zonas comerciales, canchas deportivas, juegos infantiles, lagos, ciclopistas, excelente ubicación y muchas cosas más. ",,,,,m²,128,,http://img10.naventcdn.com/avisos/18/00/52/28/21/19/1200x1200/62425608.jpg,,"MN 5,000",,,,,,,,Grupo Proyecta,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/hermosa-residencia-en-vilatrazia-seguridad-52887804.html,inmuebles24,52887804,2017-08-04,Venta,Casa,"Casa
											",,"Hermosa Residencia en Vilatrazia, Seguridad, Plusvalía, Tranquilidad, Edo. de México - Inmuebles24","valle escondido, El Capulín, Atizapán de Zaragoza",,Atizapán de Zaragoza,El Capulín,,,Edo. de México,"
										Casa de tres Plantas muy iluminada con Amplios Espacios: ",,,19.528907900000000,-99.248969499999990,256,256,,http://img10.naventcdn.com/avisos/18/00/52/88/78/04/1200x1200/75013130.jpg,,"MN 4,500,000",,,,,,,,yitzhak20,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/oficinas-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/neo-nueva-experiencia-en-oficinas-52924213.html,inmuebles24,52924213,2017-06-20,Venta,Desarrollo vertical,"Desarrollo vertical
											",,"Neo Nueva Experiencia en Oficinas, Distrito Federal - Inmuebles24","Boulevard Adolfo Lopez Mateos 1817, Merced Gómez, Alvaro Obregón",,Alvaro Obregón,Merced Gómez,,,Distrito Federal,"
										Edificio de 14 pisos de oficinas en preventa, con lo último en arquitectura urbana, estacionamiento robotizado y una ubicación inmejorable. Contáctanos!!! ",,,19.365378900000000,-99.191153999999980,m²,45,,http://img10.naventcdn.com/avisos/18/00/52/92/42/13/1200x1200/78767961.jpg,,"MN 50,000",,,,,,,,VIDARQ,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/country:-terreno-lote-plurifamiliar-con-proyecto-51398749.html,inmuebles24,51398749,2017-07-26,Venta,Terreno / Lote,"Terreno / Lote
											",,"Country: Terreno - Lote Plurifamiliar con Proyecto Para Inversionista (S), Provincia de Tabasco - Inmuebles24","Villahermosa - Residencial Palmira - Sector Country, Fraccionamiento Sol Campestre, Villahermosa",,Villahermosa,Fraccionamiento Sol Campestre,,,Tabasco,"
										Se vende LOTE con PROYECTO de construcción completo (Todos los planos y proyecto maestro), licencia de construcción APROBADA para edificio de 5 pisos con 8 EXCLUSIVOS departamentos desde 110 hasta 201 m2 en la zona residencial de MAYOR crecimiento. Incluye TODOS los planos en formato digital y material para los promocionales. DISEÑO moderno, acabados de lujo, Gimnasio, BBQ, Sauna y Baño turco, Jardín, Agradables Vistas, Elevador, 2 Cajones de estacionamiento por departamento. Doble control de SEGURIDAD, circuito cerrado. ÚNICO en la zona de mayor PLUSVALÍA residencial de la ciudad (Residencial Palmira, sector el COUNTRY, Villahermosa, TAB) - EXCELENTE OPORTUNIDAD PARA INVERSIONISTAS - PRECIO NEGOCIABLE. Manejamos plan de pago.
									",,,18.015413928975487,-92.983984142602540,"1,733",400,,http://img10.naventcdn.com/avisos/18/00/51/39/87/49/1200x1200/72084777.jpg,,"MN 3,900,000",,,,,,,,Oscar,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/-se-vende-terreno-en-komchen-la-rejoyada!-excelente-52909164.html,inmuebles24,52909164,2017-08-09,Venta,Terreno / Lote,"Terreno / Lote
											",,"¡Se Vende Terreno en Komchen, La Rejoyada! Excelente Precio, Yucatán - Inmuebles24","FRACCIONAMIENTO EN LA REJOYADA, Pueblo Komchen, Mérida",,Mérida,Pueblo Komchen,,,Yucatán,"
										TERRENO DE FORMA REGULAR EN LA REJOYADA, PRIVADA RESIDENCIAL CON SEGURIDAD 24/7. AMPLIAS VIALIDADES Y ÁREAS VERDES. SE PUEDE ACCEDER SOBRE LA CARRETERA MERIDA-PROGRESO. ",,,21.118571300000000,-89.677140099999970,1,945,,http://img10.naventcdn.com/avisos/18/00/52/90/91/64/1200x1200/76374666.jpg,,"MN 662,000",,,,,,,,CAMARA RUZ BIENES RAICES,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/terreno-frente-al-centro-comercial-en-cuautitlan-51281187.html,inmuebles24,51281187,2017-07-20,Alquiler / Venta,Terreno / Lote,"Terreno / Lote
											",,"Terreno Frente Al Centro Comercial en Cuautitlan, Edo. de México - Inmuebles24","Blvd.Francisco I MAdero, Joyas, Cuautitlán Izcalli",,Cuautitlán Izcalli,Joyas,,,Edo. de México,"
										Excelente Terreno frente al centro comercial Plaza la Joya calles completamente comerciales y con afluencia elevada de gente. ",,,19.672590741930318,-99.164371374102760,m²,"
												",,http://img10.naventcdn.com/avisos/18/00/51/28/11/87/1200x1200/43883188.jpg,,"MN 5,500",,,,,,,,JYSA,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/las-flores-639-51323539.html,inmuebles24,51323539,2017-07-24,Venta,Desarrollo horizontal,"Desarrollo horizontal
											",,"Las Flores 639, Distrito Federal - Inmuebles24","Av. De Las Flores # 639, en la colonia Flor de María, Flor de Maria, Alvaro Obregón",,Alvaro Obregón,Flor de Maria,,,Distrito Federal,"
										El desarrollo ""Las Flores 639"", está ubicado en Avenida Las Flores mismo número, colonia Flor de María, Delegación Alvaro Obregón. ",,,19.347858100000000,-99.207648100000030,m²,290,,http://img10.naventcdn.com/avisos/18/00/51/32/35/39/1200x1200/57192242.jpg,,"MN 9,479,099",,,,,,,,LOMELIN 1,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/moderna-residencia-en-cumbres-de-santa-fe-52796689.html,inmuebles24,52796689,2017-06-30,Venta,Casa,"Casa
											",,"Moderna Residencia en Cumbres de Santa Fe, Distrito Federal - Inmuebles24","AV. DE LOS POETAS 100, CEDROS 1, LOTE 5, San Mateo Tlaltenango, Cuajimalpa de Morelos",,Cuajimalpa de Morelos,San Mateo Tlaltenango,,,Distrito Federal,"
										Excelente y moderna residencia en venta en el exclusivo desarrollo Cumbres de Santa Fe. Inmejorable seguridad, áreas comunes y espectacular casa club. Muy iluminada. ",,,19.348914600000000,-99.259190600000010,646,500,,http://img10.naventcdn.com/avisos/18/00/52/79/66/89/1200x1200/73646165.jpg,,"MN 38,000,000",,,,,,,,LEONARDO,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/nuevo-townhouse-a-una-calle-de-altabrisa-52630125.html,inmuebles24,52630125,2017-07-14,Venta,Casa,"Casa
											",,"Nuevo Townhouse a Una Calle de Altabrisa, Yucatán - Inmuebles24","Colonia Maya, Maya, Mérida",,Mérida,Maya,,,Yucatán,"
										",,,21.018296500000000,-89.579241400000000,157,95,,http://img10.naventcdn.com/avisos/18/00/52/63/01/25/1200x1200/70978476.jpg,,"MN 1,450,000",,,,,,,,TIPI BIENES RAICES,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/elegante-residencia-en-san-angel-52873987.html,inmuebles24,52873987,2017-07-21,Venta,Casa,"Casa
											",,"Elegante Residencia en San Angel, Distrito Federal - Inmuebles24","Jardín, Tlacopac, Alvaro Obregón",,Alvaro Obregón,Tlacopac,,,Distrito Federal,"
										Elegante Residencia en una de las zonas más exclusivas de la CDMX, estilo conservador con finos acabados en madera, vestíbulo amplio, sala a doble altura, cocina integral, antecomedor con bonita vista a uno de los jardines, biblioteca, jardín de 800 m2 con alberca, terraza, 9 estacionamientos. Tiene entrada para el cuarto del chofer y un departamento muy amplio e independiente de la casa.
									",,,19.353938000000000,-99.198165700000000,981,"1,287",,http://img10.naventcdn.com/avisos/18/00/52/87/39/87/1200x1200/74821034.jpg,,"MN 45,000,000",,,,,,,,Coldwell Banker CONFIANCE,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/condor-317-53098247.html,inmuebles24,53098247,2017-07-27,Venta,Desarrollo horizontal,"Desarrollo horizontal
											",,"Cóndor # 317, Distrito Federal - Inmuebles24","Cóndor # 317, Las Aguilas, Alvaro Obregón",,Alvaro Obregón,Las Aguilas,,,Distrito Federal,"
										Estrene casa en el punto mejor conectado por vialidades en la CDMX. Diseño de JVCarq, desarrollo de Grupo VyG, con más de treinta y cinco años de experiencia. Ofrecemos la mejor calidad en obra y acabados, totalmente terminadas. Viva con amplitud ! Casas de tres recámaras cada una con baño y vestidor, jardín, amplia sala comedor, sala de T.V., antecomedor, cuarto de servicio, bodega. Desde 3 a 8 cajones de estacionamiento ! A sólo cuatro cuadras del periférico! Aproveche Pre-venta en condominio horizontal de cuatro casas, cómodas mensualidades ! Lo esperamos ! ",,,19.361534800000000,-99.200323900000000,m²,376,,http://img10.naventcdn.com/avisos/18/00/53/09/82/47/1200x1200/78973526.jpg,,"MN 13,500,000",,,,,,,,INMOBILIARIA RIO POLANCO ,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/toscana-residencial-52858579.html,inmuebles24,52858579,2017-07-26,Venta,Desarrollo horizontal,"Desarrollo horizontal
											",,"Toscana Residencial, Edo. de México - Inmuebles24","Manuel Villada, El Panteón, Lerma",,Lerma,El Panteón,,,Edo. de México,"
										Desarrollo Residencial con acabados de lujo y espacios indispensables de convivencia. ",,,19.288738300000000,-99.504587000000010,141,141,,http://img10.naventcdn.com/avisos/18/00/52/85/85/79/1200x1200/74596531.jpg,,"MN 1,873,000",,,,,,,,TOSCANA RESIDENCIAL,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/casas-en-la-encomienda-residencial-52264072.html,inmuebles24,52264072,2017-07-12,Venta,Desarrollo horizontal,"Desarrollo horizontal
											",,"Casas en La Encomienda Residencial, Nuevo León - Inmuebles24","de la Colonia 225, La Encomienda, Gral. Escobedo",,Gral. Escobedo,La Encomienda,,,Nuevo León,"
										LA ENCOMIENDA colonizadores 3 Recámaras 3 1/2baños 2Plantas 214 Metros Cuadrados de Construcción 135 Metros Cuadrados Terreno $2;373,000 Hermosa Casa en Privada, cochera doble, estancia de TV, lavandería interior. Fecha de Entrega: Enero de 2017. www.habiteca.mx ",,,25.778780009219293,-100.279584591751870,214,214,,http://img10.naventcdn.com/avisos/18/00/52/26/40/72/1200x1200/61575822.jpg,,"MN 2,373,000",,,,,,,,Habiteca,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/casas-o-duplex-o-casa-en-condominio-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/altozano-el-nuevo-tabasco-52702375.html,inmuebles24,52702375,2017-06-12,Venta,Desarrollo horizontal,"Desarrollo horizontal
											",,"Altozano El Nuevo Tabasco, Provincia de Tabasco - Inmuebles24","Carretera Federal km 186 16 + 500, Macuspana Centro, Macuspana",,Macuspana,Macuspana Centro,,,Tabasco,"
										Desarrollo de clase mundial, pensado en los habitantes más exigentes de Villahermosa.Terrenos desde 144m2 y casas completamente equipadas desde 91m2C. ",,,17.970124972007557,-92.840446023535150,m²,91,,http://img10.naventcdn.com/avisos/18/00/52/70/23/75/1200x1200/72324773.jpg,,"MN 698,400",,,,,,,,Altozano,,,,,,,,,,,,,,,,,,
http://www.inmuebles24.com/terrenos-en-venta.html,inmuebles24.com,http://www.inmuebles24.com/propiedades/hermoso-y-amplio-lote-frente-al-mar-en-venta-en-puerto-51912300.html,inmuebles24,51912300,2017-08-01,Venta,Terreno / Lote,"Terreno / Lote
											",,"Hermoso y Amplio Lote Frente Al Mar en Venta en Puerto Cancún, Provincia de Quintana Roo - Inmuebles24","Puerto Cancún, Zona Hotelera, Cancún",,Cancún,Zona Hotelera,,,Quintana Roo,"
										Construye tu hogar en el desarrollo residencial más exclusivo y de mayor plusvalía en Quintana Roo. Haz tuyo uno de los últimos lotes frente al mar y junto al campo de golf. El terreno ya tiene relleno. además hay otro del mismo tamaño y precio junto al primero y también se vende por si deseas tener dos pegados. ",,,21.172531545030030,-86.805875943169380,"1,125","1,125",,http://img10.naventcdn.com/avisos/18/00/51/91/23/00/1200x1200/53073938.jpg,,"U$D 2,025,000",,,,,,,,Javier Verástegui,,,,,,,,,,,,,,,,,,
